Trial;Sort;t;y;v;a;;;;
1;metal;0.138;-0.011;-2.548;;;;;
1;metal;0.142;-0.026;-5.380;;;;;-6.80
1;metal;0.146;-0.056;-6.795;;;;;
1;metal;0.150;-0.082;-5.660;;;;;
1;metal;0.154;-0.103;-4.530;;;;;
1;metal;0.158;-0.120;-5.957;;;;;
1;metal;0.163;-0.153;-6.229;;;;;
1;metal;0.167;-0.172;-5.374;;;;;
1;metal;0.171;-0.198;-5.374;;;;;
1;metal;0.175;-0.217;-4.819;;;;;
1;metal;0.179;-0.238;-5.380;;;;;
1;metal;0.183;-0.261;-5.091;;;;;
1;metal;0.188;-0.280;-4.539;;;;;
1;metal;0.192;-0.299;-5.663;;;;;
1;metal;0.196;-0.328;-5.663;;;;;
1;metal;0.200;-0.346;-4.819;;;;;
1;metal;0.204;-0.368;-5.091;;;;;
1;metal;0.208;-0.389;-5.102;;;;;
1;metal;0.213;-0.410;-5.668;;;;;
1;metal;0.217;-0.436;-5.660;;;;;
1;metal;0.221;-0.457;-5.380;;;;;
1;metal;0.225;-0.481;-4.528;;;;;
1;metal;0.229;-0.495;-4.244;;;;;
1;metal;0.233;-0.516;-4.528;;;;;
1;metal;0.238;-0.533;-4.813;;;;;
1;metal;0.242;-0.556;-5.097;;;;;
1;metal;0.246;-0.575;-4.824;;;;;
1;metal;0.250;-0.597;-6.232;;;;;
1;metal;0.254;-0.627;-5.091;;;;;
1;metal;0.258;-0.639;-3.686;;;;;
1;metal;0.263;-0.658;-4.813;;;;;
1;metal;0.267;-0.679;-3.959;;;;;
1;metal;0.271;-0.691;-4.250;;;;;
1;metal;0.275;-0.715;-5.099;;;;;
1;metal;0.279;-0.733;-4.811;;;;;
1;metal;0.283;-0.755;-5.663;;;;;
1;metal;0.288;-0.781;-4.525;;;;;
1;metal;0.292;-0.792;-3.398;;;;;
1;metal;0.296;-0.809;-3.684;;;;;
1;metal;0.300;-0.823;-4.253;;;;;
1;metal;0.304;-0.844;-4.536;;;;;
1;metal;0.308;-0.861;-4.811;;;;;
1;metal;0.313;-0.884;-5.377;;;;;
1;metal;0.317;-0.906;-3.964;;;;;
1;metal;0.321;-0.918;-3.684;;;;;
1;metal;0.325;-0.936;-4.530;;;;;
1;metal;0.329;-0.955;-4.528;;;;;
1;metal;0.333;-0.974;-4.244;;;;;
1;metal;0.338;-0.991;-3.120;;;;;
1;metal;0.342;-1.000;-4.258;;;;;
1;metal;0.346;-1.026;-4.811;;;;;
1;metal;0.350;-1.040;-3.395;;;;;
1;metal;0.354;-1.054;-3.684;;;;;
1;metal;0.358;-1.071;-4.522;;;;;
1;metal;0.363;-1.092;-3.684;;;;;
1;metal;0.367;-1.102;-3.403;;;;;
1;metal;0.371;-1.120;-4.528;;;;;
1;metal;0.375;-1.139;-2.829;;;;;
1;metal;0.379;-1.144;-2.834;;;;;
1;metal;0.383;-1.163;-3.400;;;;;
1;metal;0.388;-1.172;-2.834;;;;;
1;metal;0.392;-1.187;-3.967;;;;;
1;metal;0.396;-1.205;-3.395;;;;;
1;metal;0.400;-1.215;-3.120;;;;;
1;metal;0.404;-1.231;-3.398;;;;;
1;metal;0.408;-1.243;-2.829;;;;;
1;metal;0.413;-1.255;-2.837;;;;;
2;metal;0.063;-0.005;-2.126;;;;;
2;metal;0.067;-0.017;-3.342;;;;;
2;metal;0.071;-0.033;-4.557;;;;;
2;metal;0.075;-0.055;-6.076;;;;;
2;metal;0.079;-0.083;-6.076;;;;;
2;metal;0.083;-0.106;-5.164;;;;;
2;metal;0.088;-0.126;-4.860;;;;;
2;metal;0.092;-0.147;-5.772;;;;;
2;metal;0.096;-0.174;-7.594;;;;;
2;metal;0.100;-0.210;-4.557;;;;;
2;metal;0.104;-0.212;-4.253;;;;;
2;metal;0.108;-0.245;-6.076;;;;;
2;metal;0.113;-0.263;-5.164;;;;;
2;metal;0.117;-0.288;-4.860;;;;;
2;metal;0.121;-0.304;-4.557;;;;;
2;metal;0.125;-0.326;-5.772;;;;;
2;metal;0.129;-0.352;-5.468;;;;;
2;metal;0.133;-0.372;-4.253;;;;;
2;metal;0.138;-0.387;-4.253;;;;;
2;metal;0.142;-0.407;-5.772;;;;;
2;metal;0.146;-0.435;-5.468;;;;;
2;metal;0.150;-0.453;-4.860;;;;;
2;metal;0.154;-0.476;-5.772;;;;;
2;metal;0.158;-0.501;-4.557;;;;;
2;metal;0.163;-0.514;-4.557;;;;;
2;metal;0.167;-0.539;-4.860;;;;;
2;metal;0.171;-0.554;-4.557;;;;;
2;metal;0.175;-0.577;-4.557;;;;;
2;metal;0.179;-0.592;-4.557;;;;;
2;metal;0.183;-0.615;-5.468;;;;;
2;metal;0.188;-0.638;-4.557;;;;;
2;metal;0.192;-0.653;-3.645;;;;;
2;metal;0.196;-0.668;-4.557;;;;;
